Player,SG OTT,Points,Approach,Putting,Around Green,T2Green,Form,History,Tournament,Tour,,,,,,,
Joe Highsmith  ,-0.5867,0.0000,-0.7833,-0.4050,0.2017,0.1200,-1.84,-0.0600,Scottish Open,PGA Tour,,,,,,,
Calum Hill,0.0233,0.2833,0.0367,0.5233,-0.0933,-0.0100,0.46,0.0700,Scottish Open,PGA Tour,,,,,,,
Daniel Hillier,0.6800,0.1717,0.0920,-0.8960,-0.2780,0.0100,-0.50,0.0400,Scottish Open,PGA Tour,,,,,,,
Charley Hoffman,-0.0500,0.0000,-0.4650,-0.7150,-0.1650,0.1800,-1.92,0.0100,Scottish Open,PGA Tour,,,,,,,
Nicolai Hojgaard,0.2829,0.2629,0.3214,-0.2200,0.0843,0.1900,0.17,0.1100,Scottish Open,PGA Tour,,,,,,,
Rasmus Hojgaard,0.3333,0.0000,-0.4733,-0.4500,-0.0100,0.2600,-0.34,0.0300,Scottish Open,PGA Tour,,,,,,,
Billy Horschel,-0.0986,0.0814,0.1600,0.0200,-0.5471,0.0300,-0.42,0.0100,Scottish Open,PGA Tour,,,,,,,
Rikuya Hoshino,-0.5820,0.0350,-0.5780,0.5580,-0.4420,0.0000,-1.14,-0.0300,Scottish Open,PGA Tour,,,,,,,
Viktor Hovland  ,0.3217,1.0017,0.8250,0.2450,0.2520,-0.2000,1.08,0.0300,Scottish Open,PGA Tour,,,,,,,
Mark Hubbard,-0.0360,0.1100,0.4340,-0.9940,0.0940,-0.0300,-0.18,-0.0500,Scottish Open,PGA Tour,,,,,,,
Sungjae Im  ,0.3811,0.2978,-0.5522,0.2267,0.4244,-0.0900,0.39,0.0000,Scottish Open,PGA Tour,,,,,,,
Scott Jamieson,-0.4720,0.0300,-1.1820,-0.5440,-0.2300,0.0500,-1.71,0.0500,Scottish Open,PGA Tour,,,,,,,
Casey Jarvis,0.0867,0.0583,0.4400,-0.7083,-0.4117,-0.1200,-0.41,-0.0400,Scottish Open,PGA Tour,,,,,,,
Ryggs Johnston,-0.8280,0.0000,-0.9040,-0.2820,-0.4200,0.2800,-3.05,-0.0400,Scottish Open,PGA Tour,,,,,,,
Kota Kaneko,-0.1020,0.3588,0.6400,0.0480,-0.1200,-0.3300,0.33,-0.0400,Scottish Open,PGA Tour,,,,,,,
Yuto Katsuragawa,-0.1340,0.0800,-0.6400,-0.3220,-0.4060,0.0100,-1.15,-0.0700,Scottish Open,PGA Tour,,,,,,,
Johnny Keefer,0.3325,0.1600,0.3600,-0.5963,-0.4788,0.1200,0.27,-0.0400,Scottish Open,PGA Tour,,,,,,,
Michael Kim  ,-0.2667,0.3778,0.2833,0.4967,0.1533,-0.0200,0.66,0.0000,Scottish Open,PGA Tour,,,,,,,
Si Woo Kim  ,0.5013,1.4513,0.7100,0.0863,0.1813,-0.2900,1.39,0.0200,Scottish Open,PGA Tour,,,,,,,
Tom Kim,-0.0060,0.4500,0.8820,0.0560,0.0960,-0.1600,0.95,0.1500,Scottish Open,PGA Tour,,,,,,,
Chris Kirk  ,-0.0275,0.1700,0.2100,-0.7025,0.3325,-0.0100,-0.53,-0.0400,Scottish Open,PGA Tour,,,,,,,
Kurt Kitayama  ,0.6267,0.8850,0.7867,0.1867,-0.0683,0.0000,1.63,0.1200,Scottish Open,PGA Tour,,,,,,,
Jake Knapp  ,-0.1700,0.0000,0.1650,0.5200,-0.1750,0.1200,0.97,0.0000,Scottish Open,PGA Tour,,,,,,,
Brooks Koepka,0.4675,0.3675,0.3275,0.2100,0.1725,0.0700,1.13,-0.0400,Scottish Open,PGA Tour,,,,,,,
Jacques Kruyswijk,-0.4300,0.0000,-0.8150,-0.5200,-0.1350,-0.0300,-1.73,0.0000,Scottish Open,PGA Tour,,,,,,,
Frederic LaCroix,0.1967,0.0725,-0.4267,-0.4400,0.0933,-0.0200,-0.68,-0.0500,Scottish Open,PGA Tour,,,,,,,
Joakim Lagergren ,-0.2260,0.1000,-0.8340,0.0100,-0.2380,0.2000,-1.34,0.0700,Scottish Open,PGA Tour,,,,,,,
Pablo Larrazabal,-0.2960,0.0000,-0.7520,-1.2320,-0.2700,0.0900,-1.87,-0.0400,Scottish Open,PGA Tour,,,,,,,
Thriston Lawrence,-0.0675,0.0000,-0.1425,-1.2300,-0.2625,0.0000,-1.82,0.0400,Scottish Open,PGA Tour,,,,,,,
