Player,SG OTT,Points,Approach,Putting,Around Green,T2Green,Form,History,Tournament,Tour,,,,,,,
Billy Horschel,-0.0750,0.0713,0.2638,-0.0925,-0.5075,0.0500,-0.46,-0.0500,The Open,PGA Tour,,,,,,,
Viktor Hovland  ,0.4129,1.0686,0.8643,0.1357,0.3150,-0.0500,1.47,-0.0400,The Open,PGA Tour,,,,,,,
Sungjae Im  ,0.3340,0.2680,-0.6100,0.1160,0.3720,0.0100,0.14,-0.0400,The Open,PGA Tour,,,,,,,
Casey Jarvis,0.1286,0.0900,0.2986,-0.6014,-0.3429,0.0500,-0.26,-0.0400,The Open,PGA Tour,,,,,,,
Kota Kaneko,-0.1800,0.3189,0.4517,0.1317,-0.0317,0.2800,-0.22,-0.0400,The Open,PGA Tour,,,,,,,
Johnny Keefer,0.3678,0.2556,0.4722,-0.4556,-0.3933,-0.1700,0.55,-0.0400,The Open,PGA Tour,,,,,,,
Michael Kim  ,-0.2180,0.3400,0.3260,0.3890,0.1070,0.0200,0.41,-0.0400,The Open,PGA Tour,,,,,,,
Si Woo Kim  ,0.4856,1.5356,0.7256,0.1800,0.2200,0.0400,1.45,-0.0300,The Open,PGA Tour,,,,,,,
Tom Kim,0.0800,2.0583,0.9767,0.2033,0.1400,0.0300,1.38,-0.0400,The Open,PGA Tour,,,,,,,
Kurt Kitayama  ,0.5871,0.8143,0.6929,0.3214,0.0014,-0.1600,1.33,-0.0400,The Open,PGA Tour,,,,,,,
Jake Knapp  ,0.0567,0.0000,0.5767,-0.0933,-0.3067,-0.2100,-0.62,-0.0400,The Open,PGA Tour,,,,,,,
Brooks Koepka,0.2700,0.2940,0.4500,-0.0040,0.2300,-0.1000,0.81,0.0100,The Open,PGA Tour,,,,,,,
Frederic LaCroix,0.0675,0.0580,-0.6025,-0.6150,-0.0300,0.0100,-1.13,-0.0400,The Open,PGA Tour,,,,,,,
Joakim Lagergren ,-0.2350,0.0857,-0.6300,-0.0817,-0.1333,-0.0600,-1.49,-0.0400,The Open,PGA Tour,,,,,,,
Min Woo Lee  ,0.5157,0.4657,0.2814,-0.4829,0.1929,-0.2300,0.59,-0.0400,The Open,PGA Tour,,,,,,,
Haotong Li,0.3114,0.0586,-0.0200,-0.1000,-0.8150,-0.0900,-1.06,0.0300,The Open,PGA Tour,,,,,,,
Shane Lowry  ,0.2614,0.3843,0.9043,-0.0743,-0.0229,0.0200,0.95,-0.0500,The Open,PGA Tour,,,,,,,
Robert MacIntyre  ,0.5111,0.9044,0.0011,0.3989,0.0522,-0.0500,0.83,-0.0400,The Open,PGA Tour,,,,,,,
Hideki Matsuyama  ,-0.0457,0.5471,0.5729,0.0000,0.2971,0.0100,0.69,-0.0100,The Open,PGA Tour,,,,,,,
Matt McCarty,-0.1544,0.4733,0.0867,0.4000,0.0767,0.0700,-0.46,-0.0400,The Open,PGA Tour,,,,,,,
Tom McKibbin,0.6986,0.1771,0.1086,-0.8643,0.0371,-0.0800,0.17,-0.0400,The Open,PGA Tour,,,,,,,
Rory McIlroy,1.1750,2.2300,0.4850,0.9075,0.2100,-0.3400,2.19,0.0100,The Open,PGA Tour,,,,,,,
Maverick McNealy  ,0.1757,0.7871,-0.0500,0.8029,0.5543,-0.1100,1.28,-0.0500,The Open,PGA Tour,,,,,,,
Keith Mitchell,0.5329,0.4429,0.2443,0.0286,-0.0886,-0.1500,1.12,-0.0400,The Open,PGA Tour,,,,,,,
Francesco Molinari,-0.1533,0.0567,0.4500,-1.0800,-0.1600,0.1000,-1.49,-0.0400,The Open,PGA Tour,,,,,,,
Collin Morikawa  ,0.3420,1.9080,0.7760,0.5940,0.1680,0.0000,1.64,-0.0400,The Open,PGA Tour,,,,,,,
Keita Nakajima,0.2250,0.4750,0.1125,1.0750,-0.0400,-0.0200,0.95,-0.0400,The Open,PGA Tour,,,,,,,
Rasmus Neergaard-Petersen,0.4783,0.1717,-0.0617,0.3200,-0.4567,-0.0600,0.14,-0.0400,The Open,PGA Tour,,,,,,,
Joaquin Niemann,0.8817,1.4717,0.8433,0.1350,-0.3400,-0.2000,1.90,-0.0400,The Open,PGA Tour,,,,,,,
Alex Noren,0.1433,0.4967,-0.1633,0.7222,-0.1244,0.1300,-0.01,0.0300,The Open,PGA Tour,,,,,,,
Shaun Norris,-0.2700,0.6850,-0.4300,1.4250,-0.0200,0.1300,0.92,0.0100,The Open,PGA Tour,,,,,,,
Andrew Novak  ,0.3450,0.2540,0.2590,-0.5500,0.2550,-0.0300,0.30,-0.0400,The Open,PGA Tour,,,,,,,
John Parry,-0.4217,0.2033,0.6817,-0.8717,0.1250,0.1100,-1.04,-0.0400,The Open,PGA Tour,,,,,,,
Marco Penge,0.3200,0.2125,-0.2825,0.0875,-0.2400,-0.3000,0.17,-0.0400,The Open,PGA Tour,,,,,,,
Victor Perez,0.6900,0.5880,0.2860,0.1080,-0.0100,-0.0200,1.17,-0.0400,The Open,PGA Tour,,,,,,,
J.T. Poston  ,0.3300,0.9850,0.2438,0.1813,0.0275,0.0600,0.87,-0.0400,The Open,PGA Tour,,,,,,,
Aldrich Potgieter  ,0.5050,0.3867,0.1117,0.0650,-0.2540,-0.3600,0.44,-0.0400,The Open,PGA Tour,,,,,,,
David Puig,0.5486,0.4643,-0.3857,0.3900,0.1871,-0.2500,0.63,-0.0400,The Open,PGA Tour,,,,,,,
Jon Rahm,0.8567,1.4683,0.3800,0.0850,0.4140,-0.2200,1.49,-0.0200,The Open,PGA Tour,,,,,,,
Aaron Rai  ,0.4250,0.8850,0.7567,-0.2217,0.2783,0.1600,1.45,-0.0400,The Open,PGA Tour,,,,,,,
Patrick Reed,-0.3150,0.8475,0.3975,-0.0850,0.6550,0.0600,0.68,-0.0500,The Open,PGA Tour,,,,,,,
Kristoffer Reitan,0.7100,0.8288,0.2450,0.0400,0.0325,-0.1400,1.10,-0.0400,The Open,PGA Tour,,,,,,,
Justin Rose  ,0.4367,1.1967,0.6667,0.1067,0.1633,-0.0500,1.63,-0.0200,The Open,PGA Tour,,,,,,,
Antoine Rozner,0.0475,0.1400,0.4350,-0.3950,-0.2400,-0.0200,-0.06,-0.0400,The Open,PGA Tour,,,,,,,
Adrien Saddier,0.0650,0.0525,0.0800,-0.6475,-0.2400,0.0300,-0.31,-0.0400,The Open,PGA Tour,,,,,,,
Jayden Schaper,0.1600,0.0767,-0.2233,-0.6800,0.0017,0.1000,-0.61,-0.0400,The Open,PGA Tour,,,,,,,
Xander Schauffele  ,0.8400,1.1667,0.1250,-0.1067,0.1117,-0.2000,0.88,0.0100,The Open,PGA Tour,,,,,,,
Scottie Scheffler  ,0.8529,5.4914,1.2100,0.5114,0.3829,-0.1300,2.76,-0.0400,The Open,PGA Tour,,,,,,,
Adam Scott,0.3150,0.4250,0.2983,-0.2167,0.0633,-0.1000,-0.40,0.0200,The Open,PGA Tour,,,,,,,
Alex Smalley,0.3857,1.0543,0.3543,0.3800,-0.0957,-0.0400,0.58,-0.0400,The Open,PGA Tour,,,,,,,
Cam Smith,-0.8400,0.2280,-0.2200,0.6200,0.7950,0.0600,0.68,-0.0400,The Open,PGA Tour,,,,,,,
Jordan Smith,0.3350,0.2900,0.5383,-0.6550,-0.1783,-0.0700,-0.28,-0.0400,The Open,PGA Tour,,,,,,,
J.J. Spaun  ,0.3278,1.1511,1.0589,-0.1089,0.2011,-0.0100,1.57,-0.0400,The Open,PGA Tour,,,,,,,
Jordan Spieth  ,0.4222,0.3300,0.0822,-0.0856,0.0189,-0.0900,0.08,0.0300,The Open,PGA Tour,,,,,,,
Sam Stevens  ,0.3575,0.2125,0.1188,-0.4088,-0.0538,-0.1100,-0.78,-0.0400,The Open,PGA Tour,,,,,,,
Sepp Straka  ,-0.1363,0.0913,0.2288,-0.0775,-0.3750,0.0200,-0.51,-0.0400,The Open,PGA Tour,,,,,,,
Jackson Suber,0.4467,0.8017,0.3183,0.0817,0.0433,-0.0400,1.31,-0.0400,The Open,PGA Tour,,,,,,,
Andy Sullivan,0.0560,0.0800,-0.6600,0.0000,-0.2580,0.1300,-0.15,-0.0200,The Open,PGA Tour,,,,,,,
Jesper Svensson,0.9900,0.3400,-0.9500,0.0133,-0.3533,-0.2200,1.07,-0.0400,The Open,PGA Tour,,,,,,,
Nick Taylor  ,0.0278,0.4822,0.2878,0.4322,0.1589,0.0800,0.90,-0.0400,The Open,PGA Tour,,,,,,,
Sahith Theegala,-0.0113,0.1800,0.2288,-0.1925,0.4588,-0.0800,0.26,-0.0400,The Open,PGA Tour,,,,,,,
Justin Thomas  ,0.3963,0.8500,0.2738,0.1650,0.5750,-0.0800,2.07,-0.0400,The Open,PGA Tour,,,,,,,
Michael Thorbjornsen,0.4983,0.2050,-0.1250,-0.4333,0.1067,-0.1500,0.10,-0.0400,The Open,PGA Tour,,,,,,,
Sami Valimaki,0.2275,0.1450,0.0950,0.2925,-0.5900,0.0800,0.61,-0.0400,The Open,PGA Tour,,,,,,,
Matt Wallace,-0.0283,0.2317,0.9417,-0.1350,0.1680,0.0100,0.28,-0.0400,The Open,PGA Tour,,,,,,,
Bernd Wiesberger,0.0600,0.5843,-0.0167,-0.1500,0.2450,0.1200,-0.06,-0.0300,The Open,PGA Tour,,,,,,,
Danny Willett,-0.7833,0.1400,-0.1533,0.7083,-0.2917,0.0000,-1.05,-0.0400,The Open,PGA Tour,,,,,,,
Gary Woodland,0.6800,0.8143,0.4186,0.1000,-0.2857,-0.1700,1.03,-0.0200,The Open,PGA Tour,,,,,,,
Cameron Young,0.7233,1.7150,0.6567,-0.2600,0.4033,-0.1700,0.97,-0.0400,The Open,PGA Tour,,,,,,,
