Player,SG OTT,Points,Approach,Putting,Around Green,T2Green,Form,History,Tournament,Tour
Zach Bauchou,0.1186,0.2571,0.4157,-0.0086,0.0043,0.04,0.008,-0.04,Wyndham Championship,PGA Tour
Christiaan Bezuidenhout,-0.405,0.4113,0.5825,0.46,0.0825,0.17,0.792,0.04,Wyndham Championship,PGA Tour
Daniel Berger,0.2033,0.19,0.27,-0.5933,-0.1517,0.08,-1.6433,-0.01,Wyndham Championship,PGA Tour
Zac Blair,-0.4283,0.435,0.405,0.2417,0.145,0.36,1.375,-0.01,Wyndham Championship,PGA Tour
Chandler Blanchet,0.1956,0.1167,0.0933,-0.4089,-0.5975,0.26,-0.718,-0.04,Wyndham Championship,PGA Tour
Keegan Bradley,0.1663,0.5188,0.6075,-0.1037,0.1487,-0.08,1.358,0.01,Wyndham Championship,PGA Tour
Michael Brennan,0.6887,0.285,0.1988,-0.2025,-0.3187,-0.21,0.8583,-0.04,Wyndham Championship,PGA Tour
Brian Campbell,-0.5078,0.0056,-0.1356,-0.4089,-0.11,0.36,-1.0883,-0.01,Wyndham Championship,PGA Tour
Rafael Campos,-0.32,0.0,0.2457,-0.875,-0.1283,-0.11,-1.26,0.0,Wyndham Championship,PGA Tour
Ricky Castillo,0.185,0.185,-0.24,0.2317,0.23,-0.04,0.41,0.01,Wyndham Championship,PGA Tour
Bud Cauley,0.3214,0.6286,0.3914,-0.1757,0.4029,0.02,1.3875,0.17,Wyndham Championship,PGA Tour
Davis Chatfield,-0.64,0.1757,0.2071,0.3071,-0.2086,0.42,0.096,-0.04,Wyndham Championship,PGA Tour
Luke Clanton,-0.2857,0.0457,0.4943,-0.0529,-0.0414,-0.03,-0.122,0.02,Wyndham Championship,PGA Tour
Eric Cole,-0.3088,0.54,0.0688,0.8475,0.285,-0.11,0.6833,0.05,Wyndham Championship,PGA Tour
Pierceson Coody,0.257,0.286,-0.37,0.316,-0.25,-0.21,-0.5067,-0.03,Wyndham Championship,PGA Tour
Joel Dahmen,-0.08,0.115,0.5725,-0.8363,-0.2537,0.34,0.398,0.08,Wyndham Championship,PGA Tour
Cam Davis,-0.372,0.0,-0.752,0.0,-0.266,-0.17,-1.7467,0.14,Wyndham Championship,PGA Tour
Jason Day,0.054,0.0,-0.954,-0.426,0.896,0.0,-0.495,-0.03,Wyndham Championship,PGA Tour
Zecheng Dou,0.0957,0.1571,-0.2814,0.2857,-0.1314,-0.16,-0.176,0.02,Wyndham Championship,PGA Tour
Adrien Dumont de Chassart,-0.91,0.0229,-0.1814,0.4229,0.7043,-0.28,-0.26,-0.02,Wyndham Championship,PGA Tour
Nick Dunlap,-0.7843,0.0857,-0.02,-0.3114,0.3329,-0.18,-0.956,-0.02,Wyndham Championship,PGA Tour
Nico Echavarria,-0.035,0.1688,0.2537,0.145,-0.0775,0.1,0.404,0.06,Wyndham Championship,PGA Tour
Austin Eckroat,-0.3829,0.1457,0.1414,0.4329,-0.2771,-0.01,-0.182,0.04,Wyndham Championship,PGA Tour
Harris English,0.4129,0.2386,-0.0957,-0.1186,0.4043,0.04,0.3225,0.24,Wyndham Championship,PGA Tour
Tony Finau,0.3757,0.1514,-0.1057,-0.3543,0.2729,-0.23,-0.386,-0.01,Wyndham Championship,PGA Tour
Patrick Fishburn,0.3271,0.1571,0.0871,-0.0643,-0.0757,-0.08,0.204,0.03,Wyndham Championship,PGA Tour
Steven Fisk,0.3614,0.2814,-0.7786,-0.0371,-0.0586,-0.09,-0.5475,-0.02,Wyndham Championship,PGA Tour
Alex Fitzpatrick,0.5586,1.23,1.0714,-0.1957,0.1029,0.13,1.2475,-0.04,Wyndham Championship,PGA Tour
Brice Garnett,-0.07,0.14,0.08,-0.3243,-0.3914,0.28,-0.55,0.2,Wyndham Championship,PGA Tour
Ryan Gerard,0.25,0.88,0.2662,0.5925,0.0587,0.07,1.672,-0.03,Wyndham Championship,PGA Tour
Doug Ghim,0.715,0.5167,0.035,0.0417,0.1783,0.11,1.125,0.07,Wyndham Championship,PGA Tour
Lucas Glover,0.0222,0.2756,0.5678,-0.8089,-0.1289,0.35,-0.6,0.18,Wyndham Championship,PGA Tour
Max Greyserman,0.271,0.277,-0.637,0.267,0.083,-0.27,-0.275,0.03,Wyndham Championship,PGA Tour
Ben Griffin,0.1688,1.1675,0.3663,0.6138,0.5463,-0.03,1.218,0.12,Wyndham Championship,PGA Tour
Lanto Griffin,-0.1629,0.0986,0.0214,-0.55,-0.0029,0.05,-0.712,0.04,Wyndham Championship,PGA Tour
Emiliano Grillo,0.2743,0.4486,0.3243,-0.01,-0.0443,0.24,1.2925,-0.02,Wyndham Championship,PGA Tour
Harry Hall,-0.59,0.1167,-0.0267,-0.1811,0.4933,-0.12,-0.7017,-0.02,Wyndham Championship,PGA Tour
Brian Harman,-0.0875,0.3625,0.3738,0.3862,0.0525,0.18,0.876,0.13,Wyndham Championship,PGA Tour
Garrick Higgo,0.0729,0.0643,-0.9629,0.4714,-0.2214,-0.16,-0.895,-0.03,Wyndham Championship,PGA Tour
Joe Highsmith,-0.2275,0.0437,-0.4725,-0.3738,-0.105,-0.06,-0.64,-0.03,Wyndham Championship,PGA Tour
Kensei Hirata,-0.2514,0.0,-0.7486,-0.5557,0.0043,0.22,-1.692,-0.04,Wyndham Championship,PGA Tour
Ryo Hisatsune,0.46,0.2311,0.3433,-0.2689,-0.06,0.08,0.4,0.0,Wyndham Championship,PGA Tour
Lee Hodges,0.1733,0.1567,0.1083,0.0967,-0.2017,0.2,0.59,0.0,Wyndham Championship,PGA Tour
Rico Hoey,0.3987,0.1625,0.15,-0.51,0.0475,-0.01,-0.098,0.01,Wyndham Championship,PGA Tour
Tom Hoge,-0.222,0.218,0.521,-0.264,-0.106,0.1,-0.3267,0.07,Wyndham Championship,PGA Tour
Rasmus Hojgaard,0.2567,0.1267,-0.3733,0.0283,-0.0133,-0.36,-0.4667,-0.01,Wyndham Championship,PGA Tour
Billy Horschel,-0.14,0.1233,0.3933,-0.1122,-0.2889,0.04,0.215,0.3,Wyndham Championship,PGA Tour
Beau Hossler,0.3014,0.1843,-0.2271,0.2557,0.1857,-0.03,0.264,0.07,Wyndham Championship,PGA Tour
Mark Hubbard,0.0186,0.1257,0.4286,-0.7757,0.1071,0.1,-0.76,0.18,Wyndham Championship,PGA Tour
