player_1,player_2,win_percent,wins_of_10000
Zach Bauchou,Dylan Wu,62.8,6279
Zach Bauchou,Cameron Young,33.5,3349
Zach Bauchou,Kevin Yu,44.5,4448
Christiaan Bezuidenhout,Zach Bauchou,59.0,5904
Christiaan Bezuidenhout,Daniel Berger,72.2,7216
Christiaan Bezuidenhout,Zac Blair,45.9,4593
Christiaan Bezuidenhout,Chandler Blanchet,66.8,6684
Christiaan Bezuidenhout,Keegan Bradley,48.8,4882
Christiaan Bezuidenhout,Michael Brennan,57.2,5715
Christiaan Bezuidenhout,Brian Campbell,70.3,7030
Christiaan Bezuidenhout,Rafael Campos,75.6,7565
Christiaan Bezuidenhout,Ricky Castillo,58.2,5819
Christiaan Bezuidenhout,Bud Cauley,44.5,4451
Christiaan Bezuidenhout,Davis Chatfield,58.3,5826
Christiaan Bezuidenhout,Luke Clanton,62.4,6237
Christiaan Bezuidenhout,Eric Cole,54.2,5415
Christiaan Bezuidenhout,Pierceson Coody,68.8,6881
Christiaan Bezuidenhout,Joel Dahmen,55.9,5592
Christiaan Bezuidenhout,Cam Davis,79.5,7948
Christiaan Bezuidenhout,Jason Day,68.9,6890
Christiaan Bezuidenhout,Zecheng Dou,65.6,6558
Christiaan Bezuidenhout,Adrien Dumont de Chassart,68.7,6868
Christiaan Bezuidenhout,Nick Dunlap,74.4,7444
Christiaan Bezuidenhout,Nico Echavarria,55.7,5574
Christiaan Bezuidenhout,Austin Eckroat,63.5,6354
Christiaan Bezuidenhout,Harris English,53.2,5319
Christiaan Bezuidenhout,Tony Finau,66.8,6680
Christiaan Bezuidenhout,Patrick Fishburn,59.9,5990
Christiaan Bezuidenhout,Steven Fisk,69.8,6978
Christiaan Bezuidenhout,Alex Fitzpatrick,42.3,4229
Christiaan Bezuidenhout,Brice Garnett,62.6,6258
Christiaan Bezuidenhout,Ryan Gerard,43.5,4353
Christiaan Bezuidenhout,Doug Ghim,46.6,4657
Christiaan Bezuidenhout,Lucas Glover,59.8,5979
Christiaan Bezuidenhout,Max Greyserman,67.6,6758
Christiaan Bezuidenhout,Ben Griffin,43.2,4316
Christiaan Bezuidenhout,Lanto Griffin,68.7,6872
Christiaan Bezuidenhout,Emiliano Grillo,46.9,4691
Christiaan Bezuidenhout,Harry Hall,70.3,7026
Christiaan Bezuidenhout,Brian Harman,48.1,4807
Christiaan Bezuidenhout,Garrick Higgo,73.9,7389
Christiaan Bezuidenhout,Joe Highsmith,73.0,7304
Christiaan Bezuidenhout,Kensei Hirata,77.5,7754
Christiaan Bezuidenhout,Ryo Hisatsune,55.4,5536
Christiaan Bezuidenhout,Lee Hodges,54.4,5444
Christiaan Bezuidenhout,Rico Hoey,61.9,6192
Christiaan Bezuidenhout,Tom Hoge,61.9,6188
Christiaan Bezuidenhout,Rasmus Hojgaard,70.5,7052
Christiaan Bezuidenhout,Billy Horschel,56.5,5650
Christiaan Bezuidenhout,Beau Hossler,57.6,5762
Christiaan Bezuidenhout,Mark Hubbard,63.9,6394
Christiaan Bezuidenhout,Mackenzie Hughes,57.6,5761
Christiaan Bezuidenhout,Sungjae Im,57.4,5743
Christiaan Bezuidenhout,Stephan Jaeger,71.2,7116
Christiaan Bezuidenhout,Ben James,52.5,5248
Christiaan Bezuidenhout,Takumi Kanaya,63.7,6375
Christiaan Bezuidenhout,Jeffrey Kang,69.7,6968
Christiaan Bezuidenhout,Johnny Keefer,58.8,5876
Christiaan Bezuidenhout,Michael Kim,56.0,5601
Christiaan Bezuidenhout,Tom Kim,41.3,4129
Christiaan Bezuidenhout,Chris Kirk,60.5,6049
Christiaan Bezuidenhout,Patton Kizzire,90.8,9079
Christiaan Bezuidenhout,Brooks Koepka,57.0,5700
Christiaan Bezuidenhout,Ben Kohles,39.8,3984
Christiaan Bezuidenhout,Jackson Koivun,43.0,4298
Christiaan Bezuidenhout,Matt Kuchar,50.3,5026
Christiaan Bezuidenhout,Christo Lamprecht,92.0,9201
Christiaan Bezuidenhout,Hank Lebioda,72.0,7200
Christiaan Bezuidenhout,Haotong Li,75.4,7538
Christiaan Bezuidenhout,David Lipsky,61.7,6168
