275,281,59.6,5958
275,186,60.0,5999
275,1307,73.5,7354
275,4516,49.3,4933
275,267,57.8,5781
275,1163,60.6,6064
275,4362,51.4,5139
275,229,55.9,5586
275,946,51.8,5181
275,295,48.3,4826
275,221,46.7,4668
275,265,43.4,4335
275,201,54.3,5434
275,198,57.8,5782
275,1218,61.0,6103
275,961,61.5,6148
275,227,66.2,6616
275,257,45.9,4585
275,1169,48.2,4823
275,273,55.5,5545
275,1554,49.0,4904
275,65,53.7,5374
275,251,67.5,6755
275,4431,53.1,5312
275,1699,64.2,6423
275,1528,51.3,5131
275,289,44.1,4414
275,1078,55.3,5532
275,4607,55.4,5541
275,1044,48.9,4892
275,179,49.4,4940
275,217,37.7,3773
275,261,63.4,6340
275,1148,72.4,7238
275,4383,54.2,5424
275,235,57.3,5727
275,4728,55.6,5561
275,1037,59.2,5925
275,4363,53.6,5358
275,1690,63.7,6368
275,285,60.4,6040
275,211,59.7,5967
275,1719,66.6,6664
275,194,46.0,4597
275,1130,79.0,7899
275,77,76.3,7635
275,1479,52.9,5291
275,942,60.6,6064
275,253,48.9,4889
275,1693,39.6,3962
275,231,43.6,4361
275,1728,48.0,4795
275,1535,50.6,5062
275,1002,62.2,6219
275,287,59.1,5913
275,190,30.0,2997
275,1172,72.0,7199
275,1696,26.6,2662
275,283,72.9,7289
275,1563,50.7,5072
275,245,44.0,4404
275,4800,66.9,6688
275,241,57.1,5712
275,1041,41.2,4125
275,1684,36.1,3611
275,239,45.4,4539
275,196,40.6,4063
275,279,48.8,4883
281,275,40.4,4042
281,186,50.4,5042
281,1307,65.0,6505
281,4516,39.8,3977
281,267,48.2,4819
281,1163,51.1,5110
281,4362,41.8,4177
281,229,46.2,4621
281,946,42.2,4219
281,295,38.7,3874
281,221,37.2,3723
281,265,34.1,3409
281,201,44.7,4469
281,198,48.2,4820
281,1218,51.5,5150
281,961,52.0,5197
281,227,56.9,5692
281,257,36.4,3644
281,1169,38.7,3871
281,273,45.8,4581
281,1554,39.5,3949
281,65,44.1,4409
281,251,58.4,5842
281,4431,43.5,4348
281,1699,54.9,5486
281,1528,41.7,4170
281,289,34.8,3483
281,1078,45.7,4567
281,4607,45.8,4577
281,1044,39.4,3938
281,179,39.8,3983
281,217,28.9,2895
281,261,54.0,5398
281,1148,63.8,6375
281,4383,44.6,4459
281,235,47.6,4764
281,4728,46.0,4596
281,1037,49.7,4966
281,4363,43.9,4394
281,1690,54.3,5428
281,285,50.9,5085
281,211,50.1,5009
281,1719,57.4,5744
281,194,36.6,3656
281,1130,71.3,7135
281,77,68.3,6826
281,1479,43.3,4327
281,942,51.1,5110
281,253,39.4,3935
281,1693,30.6,3065
281,231,34.3,3433
281,1728,38.4,3844
281,1535,41.0,4103
281,1002,52.7,5271
281,287,49.5,4954
281,190,22.1,2213
281,1172,63.3,6331
281,1696,19.3,1930
281,283,64.3,6431
281,1563,41.1,4112
281,245,34.7,3473
281,4800,57.7,5769
281,241,47.5,4749
281,1041,32.1,3215
281,1684,27.5,2749
281,239,36.0,3601
281,196,31.6,3158
281,279,39.3,3929
186,275,40.0,4001
186,281,49.6,4958
186,1307,64.7,6465
186,4516,39.4,3936
186,267,47.8,4776
186,1163,50.7,5067
186,4362,41.4,4136
186,229,45.8,4579
186,946,41.8,4178
186,295,38.3,3833
186,221,36.8,3683
186,265,33.7,3370
186,201,44.3,4427
186,198,47.8,4778
186,1218,51.1,5108
186,961,51.5,5155
186,227,56.5,5650
186,257,36.0,3604
186,1169,38.3,3830
186,273,45.4,4539
186,1554,39.1,3908
186,65,43.7,4367
186,251,58.0,5801
186,4431,43.1,4307
186,1699,54.4,5444
186,1528,41.3,4129
186,289,34.4,3444
186,1078,45.2,4525
186,4607,45.4,4535
186,1044,39.0,3897
186,179,39.4,3943
186,217,28.6,2858
186,261,53.6,5356
186,1148,63.4,6335
186,4383,44.2,4417
186,235,47.2,4721
186,4728,45.5,4554
186,1037,49.2,4924
186,4363,43.5,4352
186,1690,53.9,5386
186,285,50.4,5042
186,211,49.7,4967
186,1719,57.0,5702
186,194,36.2,3616
186,1130,71.0,7099
186,77,67.9,6789
186,1479,42.9,4285
186,942,50.7,5067
186,253,38.9,3894
186,1693,30.3,3028
186,231,33.9,3394
186,1728,38.0,3804
186,1535,40.6,4062
186,1002,52.3,5229
186,287,49.1,4912
186,190,21.8,2182
186,1172,62.9,6291
186,1696,19.0,1901
186,283,63.9,6392
186,1563,40.7,4071
186,245,34.3,3434
186,4800,57.3,5728
186,241,47.1,4707
186,1041,31.8,3177
186,1684,27.1,2714
186,239,35.6,3561
186,196,31.2,3120
186,279,38.9,3888
1307,275,26.5,2646
1307,281,35.0,3495
1307,186,35.4,3535
1307,4516,25.9,2592
1307,267,33.3,3328
1307,1163,36.0,3597
1307,4362,27.6,2762
1307,229,31.5,3150
1307,946,28.0,2797
1307,295,25.1,2505
1307,221,23.8,2381
1307,265,21.3,2129
1307,201,30.1,3015
1307,198,33.3,3330
1307,1218,36.4,3636
1307,961,36.8,3680
1307,227,41.6,4160
1307,257,23.2,2317
